date,open,high,low,close,year,month
2004-10-31,1.2427,1.2844,1.2228,1.278,2004,10
2004-11-30,1.2781,1.3338,1.2658,1.3309,2004,11
2004-12-31,1.3308,1.3667,1.3143,1.3555,2004,12
2005-01-31,1.3555,1.3576,1.2924,1.3052,2005,1
2005-02-28,1.3051,1.3281,1.2734,1.3195,2005,2
2005-03-31,1.3196,1.3481,1.2859,1.296,2005,3
2005-04-30,1.2961,1.3125,1.2769,1.2866,2005,4
2005-05-31,1.2866,1.2992,1.2298,1.2316,2005,5
2005-06-30,1.2317,1.2355,1.1984,1.2105,2005,6
2005-07-31,1.1945,1.2257,1.187,1.2184,2005,7
2005-08-31,1.2183,1.2487,1.2129,1.2337,2005,8
2005-09-30,1.2336,1.2591,1.1979,1.2026,2005,9
2005-10-31,1.2026,1.2205,1.1876,1.198,2005,10
2005-11-30,1.1979,1.2086,1.1641,1.1784,2005,11
2005-12-31,1.1783,1.2108,1.1664,1.1843,2005,12
2006-01-31,1.1815,1.2326,1.1815,1.2157,2006,1
2006-02-28,1.2158,1.2164,1.1827,1.1944,2006,2
2006-03-31,1.1945,1.2208,1.1861,1.2118,2006,3
2006-04-30,1.2118,1.2644,1.2035,1.2629,2006,4
2006-05-31,1.2628,1.2973,1.2557,1.2768,2006,5
2006-06-30,1.2767,1.2982,1.2481,1.2793,2006,6
2006-07-31,1.2786,1.2865,1.2461,1.275,2006,7
2006-08-31,1.2751,1.2942,1.2698,1.2806,2006,8
2006-09-30,1.2807,1.2876,1.2631,1.2677,2006,9
2006-10-31,1.2687,1.2784,1.2485,1.2765,2006,10
2006-11-30,1.2766,1.3276,1.2685,1.3251,2006,11
2006-12-31,1.325,1.337,1.3054,1.3202,2006,12
2007-01-31,1.3237,1.3298,1.2868,1.3033,2007,1
2007-02-28,1.3034,1.3261,1.2914,1.3225,2007,2
2007-03-31,1.3226,1.3414,1.3074,1.3358,2007,3
2007-04-30,1.3377,1.3683,1.3319999999999999,1.3653,2007,4
2007-05-31,1.3652,1.3674,1.3406,1.3453,2007,5
2007-06-30,1.3452,1.3555,1.3264,1.3544,2007,6
2007-07-31,1.3544,1.3853,1.3529,1.3662,2007,7
2007-08-31,1.3661,1.3842,1.3362,1.3631,2007,8
