date,open,high,low,close,year,month,day,day_name
2004-06-04,1.2216,1.2339,1.2142,1.2336,2004.0,6.0,4.0,Friday
2004-06-07,1.2336,1.234,1.2286,1.2309,2004.0,6.0,7.0,Monday
2004-06-08,1.2309,1.2355,1.2225,1.2227,2004.0,6.0,8.0,Tuesday
2004-06-09,1.2228,1.2252,1.2026,1.2056,2004.0,6.0,9.0,Wednesday
2004-06-10,1.2057,1.212,1.2031,1.2052,2004.0,6.0,10.0,Thursday
2004-06-11,1.2051,1.2053,1.1957,1.1972,2004.0,6.0,11.0,Friday
2004-06-14,1.1972,1.2105,1.1959,1.2083,2004.0,6.0,14.0,Monday
2004-06-15,1.2083,1.2171,1.2032,1.2145,2004.0,6.0,15.0,Tuesday
2004-06-16,1.2145,1.2171,1.1983,1.2009999999999998,2004.0,6.0,16.0,Wednesday
2004-06-17,1.2011,1.208,1.1994,1.2004,2004.0,6.0,17.0,Thursday
2004-06-18,1.2004,1.2149,1.1977,1.2128,2004.0,6.0,18.0,Friday
2004-06-21,1.2128,1.2139,1.2078,1.2123,2004.0,6.0,21.0,Monday
2004-06-22,1.2122,1.2146,1.2068,1.2139,2004.0,6.0,22.0,Tuesday
2004-06-23,1.2138,1.2195,1.2044,1.2072,2004.0,6.0,23.0,Wednesday
2004-06-24,1.2071,1.2191,1.2049,1.2157,2004.0,6.0,24.0,Thursday
2004-06-25,1.2156,1.2184,1.2107,1.2167,2004.0,6.0,25.0,Friday
2004-06-28,1.2168,1.2231,1.2125,1.2181,2004.0,6.0,28.0,Monday
2004-06-29,1.2182,1.219,1.2075,1.2091,2004.0,6.0,29.0,Tuesday
2004-06-30,1.2092,1.2212,1.207,1.2164,2004.0,6.0,30.0,Wednesday
2004-07-01,1.2163,1.2191,1.2137,1.218,2004.0,7.0,1.0,Thursday
2004-07-02,1.2179,1.2333,1.2146,1.2319,2004.0,7.0,2.0,Friday
2004-07-05,1.2318,1.2329999999999999,1.2273,1.2303,2004.0,7.0,5.0,Monday
2004-07-06,1.2304,1.2331,1.2265,1.2317,2004.0,7.0,6.0,Tuesday
2004-07-07,1.2316,1.2391,1.2311,1.2359,2004.0,7.0,7.0,Wednesday
2004-07-08,1.2358,1.2424,1.2343,1.2407,2004.0,7.0,8.0,Thursday
2004-07-09,1.2408,1.2425,1.2373,1.2398,2004.0,7.0,9.0,Friday
2004-07-12,1.2397,1.2438,1.2359,1.2375,2004.0,7.0,12.0,Monday
2004-07-13,1.2376,1.2388,1.2302,1.2342,2004.0,7.0,13.0,Tuesday
2004-07-14,1.2343,1.2423,1.2324,1.2379,2004.0,7.0,14.0,Wednesday
2004-07-15,1.238,1.2395,1.2328,1.2373,2004.0,7.0,15.0,Thursday
2004-07-16,1.2374,1.2463,1.2345,1.2456,2004.0,7.0,16.0,Friday
